WatchedDate,tmdbID,imdbID,Title,Year
,376867,tt4975722,Moonlight,2016
,524047,tt7737786,Greenland,2020
,340102,tt4682266,The New Mutants,2020
,201,tt0253754,Star Trek: Nemesis,2002
,300671,tt4172430,13 Hours: The Secret Soldiers of Benghazi,2016
,40777,tt1667838,I Hate Luv Storys,2010
,24613,tt1185442,Kurbaan,2009
,776303,tt9569610,Kaagaz,2021
,496318,tt6475412,Krrish 4,2022
,589615,tt12567088,Raat Akeli Hai,2020
,297708,tt2094116,Sherlock Holmes 3,
,399055,tt5580390,The Shape of Water,2017
,152601,tt1798709,Her,2013
,453,tt0268978,A Beautiful Mind,2001
,6977,tt0477348,No Country for Old Men,2007
,8960,tt0448157,Hancock,2008
,10625,tt0377092,Mean Girls,2004
,453405,tt1025100,Gemini Man,2019
,364689,tt3411444,Ferdinand,2017
,4523,tt0461770,Enchanted,2007
,214,tt0489270,Saw III,2006
,535292,tt8688634,21 Bridges,2019
,605116,tt7550000,Project Power,2020
,49517,tt1340800,Tinker Tailor Soldier Spy,2011
,453395,tt9419884,Doctor Strange in the Multiverse of Madness,2022
,268531,tt2091256,Captain Underpants: The First Epic Movie,2017
,11917,tt1132626,Saw V,2008
,10196,tt0938283,The Last Airbender,2010
,2310,tt0442933,Beowulf,2007
,43347,tt0758752,Love & Other Drugs,2010
,244786,tt2582802,Whiplash,2014
,84892,tt1659337,The Perks of Being a Wallflower,2012
,51876,tt1219289,Limitless,2011
,206487,tt2397535,Predestination,2014
,8467,tt0109686,Dumb and Dumber,1994
,463272,tt6921996,Johnny English Strikes Again,2018
,64688,tt1232829,21 Jump Street,2012
,1359,tt0144084,American Psycho,2000
,19913,tt1022603,(500) Days of Summer,2009
,13053,tt0397892,Bolt,2008
,334,tt0175880,Magnolia,1999
,458576,tt6475714,Monster Hunter,2020
,187,tt0401792,Sin City,2005
,853,tt0215750,Enemy at the Gates,2001
,4771,tt0452623,Gone Baby Gone,2007
,158852,tt1964418,Tomorrowland,2015
