Title,Date
"Vikings: Season 3: The Dead","1/8/21"
"Vikings: Season 3: Breaking Point","1/8/21"
"Vikings: Season 3: To the Gates!","1/7/21"
"Vikings: Season 3: Paris","1/7/21"
"Stranger Things: Stranger Things 2: Chapter Nine: The Gate","1/7/21"
"Stranger Things: Stranger Things 2: Chapter Eight: The Mind Flayer","1/7/21"
"Stranger Things: Stranger Things 2: Chapter Seven: The Lost Sister","1/7/21"
"Vikings: Season 3: Born Again","1/7/21"
"Stranger Things: Stranger Things 2: Chapter Six: The Spy","1/7/21"
"Stranger Things: Stranger Things 2: Chapter Five: Dig Dug","1/7/21"
"Stranger Things: Stranger Things 2: Chapter Four: Will the Wise","1/7/21"
"Stranger Things: Stranger Things 2: Chapter Three: The Pollywog","1/7/21"
"Vikings: Season 3: The Usurper","1/7/21"
"Vikings: Season 3: Scarred","1/7/21"
"Vikings: Season 3: Warrior's Fate","1/7/21"
"Vikings: Season 3: Mercenary","1/7/21"
"Stranger Things: Stranger Things 2: Chapter Two: Trick or Treat, Freak","1/7/21"
"Stranger Things: Stranger Things 2: Chapter One: MADMAX","1/7/21"
"She: Season 1: Devil's Share","1/7/21"
"Vikings: Season 3: The Wanderer","1/6/21"
"Stranger Things: Chapter Eight: The Upside Down","1/5/21"
"Vikings: Season 2: The Lord's Prayer","1/5/21"
"Vikings: Season 2: The Choice","1/5/21"
"Stranger Things: Chapter Seven: The Bathtub","1/5/21"
"Vikings: Season 2: Boneless","1/5/21"
"Stranger Things: Chapter Six: The Monster","1/5/21"
"Stranger Things: Chapter Five: The Flea and the Acrobat","1/5/21"
"Stranger Things: Chapter Four: The Body","1/5/21"
"Stranger Things: Chapter Three: Holly, Jolly","1/5/21"
"Vikings: Season 2: Blood Eagle","1/5/21"
"Vikings: Season 2: Unforgiven","1/5/21"
"Vikings: Season 2: Answers in Blood","1/5/21"
"Vikings: Season 2: Eye for an Eye","1/4/21"
"Stranger Things: Chapter Two: The Weirdo on Maple Street","1/4/21"
"Vikings: Season 2: Treachery","1/4/21"
"Vikings: Season 2: Invasion","1/4/21"
"Stranger Things: Chapter One: The Vanishing Of Will Byers","1/4/21"
"Vikings: Season 2: Brother's War","1/4/21"
