Title,Date
"Main, Meri Patni Aur Woh","1/8/21"
"The Lunchbox","1/8/21"
"Girls Hostel: Season 1: The Worst of Enemies","1/8/21"
"Girls Hostel: Season 1: The Best of Friends","1/8/21"
"Girls Hostel: Season 1: The Midnight Plan","1/8/21"
"What Men Want","1/8/21"
"Girls Hostel: Season 1: Dentals Vs. Medicals - The Fashion Showdown","1/8/21"
"Girls Hostel: Season 1: The Bra Chor","1/8/21"
"The Holiday","1/8/21"
"Pieces of a Woman","1/7/21"
"Falling Inn Love","1/7/21"
"Phir Bhi Dil Hai Hindustani","1/6/21"
"Kuch Kuch Hota Hai","1/6/21"
"Indiana Jones and the Raiders of the Lost Ark","1/6/21"
"The Call","1/6/21"
"Kabir Singh","1/6/21"
"Guilty","1/6/21"
"Sacred Games: Season 1: Brahmahatya","1/6/21"
"A Love So Beautiful: Season 1: Episode 1","1/6/21"
"Mismatched: Season 1: When Dimple Met Rishi","1/6/21"
"Mismatched: Season 1: Games We Play","1/5/21"
"Ginny Weds Sunny","1/5/21"
"Ek Ladki Ko Dekha Toh Aisa Laga","1/5/21"
"Project Power","1/5/21"
"Savages","1/5/21"
"Merlin: Season 1: The Dragon's Call","1/4/21"
"Ludo","1/4/21"
"The Stranded: Season 1: The Ruins","1/4/21"
"Outer Banks: Season 1: The Phantom","1/4/21"
"Outer Banks: Season 1: The Bell Tower","1/4/21"
"Outer Banks: Season 1: The Runway","1/4/21"
"Outer Banks: Season 1: Dead Calm","1/4/21"
"Outer Banks: Season 1: Parcel 9","1/4/21"
"Outer Banks: Season 1: Midsummers","1/4/21"
"Outer Banks: Season 1: Spy Games","1/4/21"
"Outer Banks: Season 1: The Forbidden Zone","1/4/21"
"AK vs AK","1/4/21"
"Om Shanti Om","1/3/21"
"Hum Saath-Saath Hain","1/3/21"
"Descendants of the Sun: Season 1: Episode 16","1/3/21"
"The Christmas Chronicles: Part Two","1/3/21"
"Miss India","1/3/21"
"One-Punch Man: Season 1: The Lone Cyborg","1/3/21"
